feature,mean,std,n_markets_mean,n_markets_std,n_hourly_rows
abs_initial_move,0.013108328045345324,0.030561845164560328,100,100,19736
log_trade_notional,1.5484798635134138,1.548038991320005,100,100,19836
log_touch_depth_over_trade_volume,1.6510514344395608,2.3520092750111474,91,91,7132
relative_spread,0.577712094800152,0.4374423378131925,100,100,19836
log_price_impact_per_dollar,-7.827512177227687,2.4592430868895083,90,90,4714
clipped_retention_ratio_6h,0.6804000441922783,1.1729509136174603,90,90,9948
log_noise_ratio_6h,1.468925931131032,1.895628569367493,90,90,13795
final_suspicion_score,0.049630242690304256,0.13283263768508402,88,88,4193
